Ngày,Nhiệt độ tối thiểu hàng ngày,Nhiệt độ tối đa hàng ngày,Mức gió ổn định tối đa,Gió giật tối đa,Tổng lượng mưa hàng ngày,Độ dày của tuyết,Áp suất,Biểu tượng,Mô tả
10/17/2018,            22°C,            31°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/18/2018,            20°C,            30°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/19/2018,            20°C,            31°C,            26 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/20/2018,            20°C,            32°C,            26 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/21/2018,            21°C,            31°C,            26 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/22/2018,            23°C,            31°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/23/2018,            22°C,            31°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/24/2018,            23°C,            31°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/25/2018,            23°C,            32°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
10/26/2018,            23°C,            31°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/27/2018,            23°C,            31°C,            11 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/28/2018,            23°C,            32°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
10/29/2018,            24°C,            32°C,            11 Km/h,            N/A,            N/A,            N/A,            N/A,            ,            Mưa
10/30/2018,            25°C,            31°C,            11 Km/h,            N/A,"            1,7mm",            N/A,"            1015,8mb",            ,            sự kiện thời tiết không được báo cáo
10/31/2018,            24°C,            30°C,            11 Km/h,            N/A,            0mm,            N/A,"            1016,2mb",            ,            Mưa
11/1/2018,            24°C,            28°C,            14 Km/h,            N/A,"            52,5mm",            N/A,"            1016,3mb",            ,            Mưa
11/2/2018,            23°C,            28°C,            22 Km/h,            N/A,"            2,2mm",            N/A,            N/A,            ,            Mưa
11/3/2018,            24°C,            29°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
11/4/2018,            24°C,            28°C,            22 Km/h,            N/A,"            54,6mm",            N/A,            N/A,            ,            Giông bãoMưa
11/5/2018,            23°C,            25°C,            21 Km/h,            N/A,"            99,5mm",            N/A,            N/A,            ,            Mưa
11/6/2018,            23°C,            28°C,            9 Km/h,            N/A,"            47,7mm",            N/A,            N/A,            ,            Mưa
11/7/2018,            24°C,            31°C,            11 Km/h,            N/A,            1mm,            N/A,            N/A,            ,            Mưa
11/8/2018,            25°C,            31°C,            13 Km/h,            N/A,"            1,7mm",            N/A,            N/A,            ,            Mưa
11/9/2018,            25°C,            30°C,            15 Km/h,            N/A,"            24,1mm",            N/A,            N/A,            ,            Mưa
11/10/2018,            24°C,            30°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
11/11/2018,            25°C,            31°C,            13 Km/h,            N/A,"            6,6mm",            N/A,            N/A,            ,            Mưa
11/12/2018,            23°C,            30°C,            15 Km/h,            N/A,"            8,3mm",            N/A,            N/A,            ,            Mưa
11/13/2018,            24°C,            31°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/14/2018,            24°C,            32°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
11/15/2018,            24°C,            32°C,            N/A,            N/A,            2mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/16/2018,            24°C,            32°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/17/2018,            24°C,            33°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/18/2018,            24°C,            33°C,            15 Km/h,            N/A,            6mm,            N/A,            N/A,            ,            Giông bãoMưa
11/19/2018,            26°C,            32°C,            11 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/20/2018,            24°C,            31°C,            15 Km/h,            N/A,"            1,5mm",            N/A,            N/A,            ,            Mưa
11/21/2018,            23°C,            31°C,            22 Km/h,            N/A,            1mm,            N/A,            N/A,            ,            Mưa
11/22/2018,            23°C,            31°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
11/23/2018,            23°C,            30°C,            N/A,            N/A,"            0,2mm",            N/A,            N/A,            ,            Mưa
11/24/2018,            26°C,            31°C,            24 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/25/2018,            26°C,            30°C,            21 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            Mưa
11/26/2018,            24°C,            29°C,            24 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            Mưa
11/27/2018,            24°C,            27°C,            22 Km/h,            N/A,"            1,7mm",            N/A,            N/A,            ,            Mưa
11/28/2018,            23°C,            29°C,            N/A,            N/A,"            7,8mm",            N/A,            N/A,            ,            Mưa
11/29/2018,            24°C,            30°C,            N/A,            N/A,"            5,8mm",            N/A,            N/A,            ,            Mưa
11/30/2018,            24°C,            30°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
12/1/2018,            23°C,            29°C,            13 Km/h,            N/A,"            7,3mm",            N/A,            N/A,            ,            Mưa
12/2/2018,            23°C,            31°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/3/2018,            24°C,            31°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
12/4/2018,            23°C,            30°C,            16 Km/h,            N/A,"            2,2mm",            N/A,            N/A,            ,            Mưa
12/5/2018,            23°C,            30°C,            29 Km/h,            N/A,"            1,2mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/6/2018,            21°C,            25°C,            32 Km/h,            N/A,"            14,4mm",            N/A,            N/A,            ,            Mưa
12/7/2018,            20°C,            23°C,            22 Km/h,            N/A,"            7,1mm",            N/A,            N/A,            ,            Mưa
12/8/2018,            21°C,            27°C,            16 Km/h,            N/A,"            2,5mm",            N/A,            N/A,            ,            Mưa
12/9/2018,            22°C,            28°C,            16 Km/h,            N/A,            1mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/10/2018,            23°C,            29°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/11/2018,            23°C,            29°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/12/2018,            23°C,            30°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/13/2018,            23°C,            30°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/14/2018,            22°C,            30°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/15/2018,            22°C,            28°C,            21 Km/h,            N/A,"            5,8mm",            N/A,            N/A,            ,            Mưa
12/16/2018,            19°C,            25°C,            28 Km/h,            29 Km/h,"            42,4mm",            N/A,            N/A,            ,            Mưa
12/17/2018,            17°C,            20°C,            29 Km/h,            N/A,"            66,2mm",            N/A,            N/A,            ,            Mưa
12/18/2018,            18°C,            24°C,            11 Km/h,            N/A,"            0,7mm",            N/A,            N/A,            ,            Mưa
12/19/2018,            20°C,            26°C,            16 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            Mưa
12/20/2018,            21°C,            24°C,            11 Km/h,            N/A,"            1,2mm",            N/A,            N/A,            ,            Mưa
12/21/2018,            21°C,            24°C,            13 Km/h,            N/A,            3mm,            N/A,            N/A,            ,            Mưa
12/22/2018,            22°C,            28°C,            21 Km/h,            N/A,"            6,3mm",            N/A,            N/A,            ,            Mưa
12/23/2018,            21°C,            31°C,            11 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/24/2018,            22°C,            31°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/25/2018,            21°C,            29°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/26/2018,            22°C,            25°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/27/2018,            21°C,            28°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/28/2018,            21°C,            28°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
12/29/2018,            22°C,            24°C,            11 Km/h,            N/A,            6mm,            N/A,            N/A,            ,            Mưa
1/1/2019,            18°C,            22°C,            22 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            Mưa
1/2/2019,            18°C,            20°C,            8 Km/h,            N/A,            4mm,            N/A,            N/A,            ,            Mưa
1/3/2019,            19°C,            23°C,            9 Km/h,            N/A,"            2,5mm",            N/A,            N/A,            ,            Mưa
1/4/2019,            20°C,            25°C,            11 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            Mưa
1/5/2019,            21°C,            27°C,            13 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/6/2019,            22°C,            26°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/7/2019,            22°C,            28°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/8/2019,            23°C,            28°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/9/2019,            23°C,            27°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/10/2019,            21°C,            28°C,            11 Km/h,            N/A,            5mm,            N/A,            N/A,            ,            Mưa
1/11/2019,            22°C,            28°C,            11 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/12/2019,            22°C,            27°C,            13 Km/h,            N/A,"            2,2mm",            N/A,            N/A,            ,            Mưa
1/13/2019,            20°C,            28°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/14/2019,            20°C,            29°C,            11 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/15/2019,            21°C,            27°C,            11 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            Mưa
1/16/2019,            20°C,            23°C,            13 Km/h,            N/A,"            43,1mm",            N/A,            N/A,            ,            Mưa
1/17/2019,            19°C,            21°C,            13 Km/h,            N/A,"            42,9mm",            N/A,            N/A,            ,            Mưa
1/18/2019,            19°C,            24°C,            15 Km/h,            N/A,"            62,2mm",            N/A,            N/A,            ,            Mưa
1/19/2019,            21°C,            27°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
1/20/2019,            22°C,            26°C,            22 Km/h,            N/A,"            3,5mm",            N/A,            N/A,            ,            Mưa
1/21/2019,            19°C,            25°C,            24 Km/h,            N/A,"            11,9mm",            N/A,            N/A,            ,            Mưa
1/22/2019,            18°C,            21°C,            13 Km/h,            N/A,"            83,3mm",            N/A,            N/A,            ,            Mưa
1/23/2019,            18°C,            25°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/24/2019,            17°C,            25°C,            11 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
1/25/2019,            17°C,            26°C,            N/A,            N/A,            N/A,            N/A,            N/A,            ,            Mưa
1/26/2019,            19°C,            26°C,            N/A,            N/A,            N/A,            N/A,            N/A,            ,            Mưa
1/27/2019,            19°C,            25°C,            16 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            Mưa
1/28/2019,            19°C,            25°C,            21 Km/h,            N/A,"            0,7mm",            N/A,            N/A,            ,            Mưa
1/29/2019,            21°C,            25°C,            16 Km/h,            N/A,            1mm,            N/A,            N/A,            ,            Mưa
1/30/2019,            18°C,            26°C,            13 Km/h,            N/A,"            3,5mm",            N/A,            N/A,            ,            Mưa
1/31/2019,            18°C,            28°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/1/2019,            20°C,            25°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
2/2/2019,            20°C,            27°C,            13 Km/h,            N/A,"            0,7mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/3/2019,            20°C,            29°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/4/2019,            22°C,            28°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/5/2019,            22°C,            29°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/6/2019,            22°C,            28°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/7/2019,            23°C,            29°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/8/2019,            24°C,            29°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/9/2019,            24°C,            28°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/10/2019,            21°C,            29°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/11/2019,            19°C,            28°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
2/12/2019,            20°C,            29°C,            N/A,            N/A,"            0,7mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/13/2019,            21°C,            28°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/14/2019,            20°C,            29°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/15/2019,            21°C,            30°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/16/2019,            22°C,            29°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/17/2019,            23°C,            29°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/18/2019,            22°C,            30°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/19/2019,            23°C,            30°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/20/2019,            24°C,            29°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/21/2019,            24°C,            30°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/22/2019,            22°C,            29°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/23/2019,            22°C,            29°C,            N/A,            N/A,            0mm,            N/A,"            1011,6mb",            ,            sự kiện thời tiết không được báo cáo
2/24/2019,            23°C,            27°C,            11 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
2/25/2019,            22°C,            28°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/26/2019,            21°C,            31°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/27/2019,            20°C,            30°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
2/28/2019,            21°C,            30°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/1/2019,            21°C,            30°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/2/2019,            22°C,            30°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/3/2019,            24°C,            31°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/4/2019,            23°C,            31°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/5/2019,            24°C,            31°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/6/2019,            24°C,            32°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/7/2019,            23°C,            30°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/8/2019,            24°C,            31°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/9/2019,            24°C,            32°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/10/2019,            24°C,            30°C,            28 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/11/2019,            24°C,            28°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/12/2019,            24°C,            29°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/13/2019,            24°C,            31°C,            13 Km/h,            N/A,            0mm,            N/A,"            1013,8mb",            ,            sự kiện thời tiết không được báo cáo
3/14/2019,            24°C,            30°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
3/15/2019,            25°C,            31°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/16/2019,            25°C,            29°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/17/2019,            23°C,            30°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/18/2019,            23°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/19/2019,            22°C,            32°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/20/2019,            23°C,            33°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/21/2019,            25°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/22/2019,            25°C,            32°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/23/2019,            25°C,            29°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
3/24/2019,            23°C,            30°C,            16 Km/h,            N/A,"            22,3mm",            N/A,            N/A,            ,            Mưa
3/25/2019,            23°C,            30°C,            N/A,            N/A,"            0,5mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/26/2019,            22°C,            30°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/27/2019,            23°C,            32°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
3/28/2019,            24°C,            31°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
3/29/2019,            22°C,            32°C,            28 Km/h,            52 Km/h,"            9,3mm",            N/A,            N/A,            ,            Giông bãoMưa
3/30/2019,            24°C,            31°C,            21 Km/h,            N/A,"            1,5mm",            N/A,            N/A,            ,            Giông bãoMưa
3/31/2019,            23°C,            30°C,            11 Km/h,            N/A,"            0,7mm",            N/A,            N/A,            ,            Giông bãoMưa
4/1/2019,            24°C,            30°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/2/2019,            23°C,            31°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/3/2019,            24°C,            32°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/4/2019,            23°C,            33°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/5/2019,            23°C,            32°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/6/2019,            23°C,            31°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/7/2019,            24°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/8/2019,            23°C,            31°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
4/9/2019,            24°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/10/2019,            25°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/11/2019,            24°C,            33°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/12/2019,            25°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/13/2019,            26°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/14/2019,            25°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
4/15/2019,            26°C,            33°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/16/2019,            26°C,            32°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/17/2019,            26°C,            34°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/18/2019,            27°C,            33°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/19/2019,            26°C,            39°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/20/2019,            26°C,            36°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/21/2019,            26°C,            33°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/22/2019,            26°C,            33°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/23/2019,            23°C,            33°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/24/2019,            24°C,            33°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/25/2019,            25°C,            33°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/26/2019,            25°C,            32°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/27/2019,            26°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
4/28/2019,            25°C,            32°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/29/2019,            24°C,            33°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
4/30/2019,            24°C,            33°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
5/1/2019,            24°C,            33°C,            32 Km/h,            N/A,"            3,3mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/2/2019,            25°C,            33°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/3/2019,            26°C,            33°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/4/2019,            26°C,            34°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
5/5/2019,            27°C,            38°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/6/2019,            27°C,            40°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
5/7/2019,            26°C,            36°C,            26 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
5/8/2019,            24°C,            35°C,            26 Km/h,            N/A,"            23,8mm",            N/A,            N/A,            ,            Giông bãoMưa
5/9/2019,            24°C,            32°C,            26 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            Giông bãoMưa
5/10/2019,            24°C,            33°C,            24 Km/h,            N/A,"            13,7mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/11/2019,            25°C,            33°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
5/12/2019,            25°C,            33°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/13/2019,            25°C,            34°C,            22 Km/h,            N/A,            1mm,            N/A,            N/A,            ,            Giông bãoMưa
5/14/2019,            25°C,            34°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/15/2019,            26°C,            37°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
5/20/2019,            27°C,            38°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/21/2019,            25°C,            37°C,            35 Km/h,            58 Km/h,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
5/22/2019,            24°C,            34°C,            22 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            Giông bãoMưa
5/23/2019,            26°C,            35°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
5/24/2019,            26°C,            35°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bão
5/25/2019,            25°C,            36°C,            21 Km/h,            N/A,"            8,8mm",            N/A,            N/A,            ,            Giông bãoMưa
5/26/2019,            26°C,            37°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/27/2019,            26°C,            37°C,            24 Km/h,            45 Km/h,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
5/28/2019,            26°C,            37°C,            21 Km/h,            N/A,            2mm,            N/A,            N/A,            ,            Giông bãoMưa
5/29/2019,            26°C,            36°C,            29 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
5/30/2019,            26°C,            35°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
5/31/2019,            25°C,            35°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
6/1/2019,            25°C,            36°C,            21 Km/h,            52 Km/h,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
6/2/2019,            25°C,            36°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
